,Querylength,domain_token_count,path_token_count,avgdomaintokenlen,longdomaintokenlen,avgpathtokenlen,tld,charcompvowels,charcompace,ldl_url,ldl_domain,ldl_path,ldl_filename,ldl_getArg,dld_url,dld_domain,dld_path,dld_filename,dld_getArg,urlLen,domainlength,pathLength,subDirLen,fileNameLen,this.fileExtLen,ArgLen,pathurlRatio,ArgUrlRatio,argDomanRatio,domainUrlRatio,pathDomainRatio,argPathRatio,executable,isPortEighty,NumberofDotsinURL,ISIpAddressInDomainName,CharacterContinuityRate,LongestVariableValue,URL_DigitCount,host_DigitCount,Directory_DigitCount,File_name_DigitCount,Extension_DigitCount,Query_DigitCount,URL_Letter_Count,host_letter_count,Directory_LetterCount,Filename_LetterCount,Extension_LetterCount,Query_LetterCount,LongestPathTokenLength,Domain_LongestWordLength,Path_LongestWordLength,sub-Directory_LongestWordLength,Arguments_LongestWordLength,URL_sensitiveWord,URLQueries_variable,spcharUrl,delimeter_Domain,delimeter_path,delimeter_Count,NumberRate_URL,NumberRate_Domain,NumberRate_DirectoryName,NumberRate_FileName,NumberRate_Extension,NumberRate_AfterPath,SymbolCount_URL,SymbolCount_Domain,SymbolCount_Directoryname,SymbolCount_FileName,SymbolCount_Extension,SymbolCount_Afterpath,Entropy_URL,Entropy_Domain,Entropy_DirectoryName,Entropy_Filename,Entropy_Extension,Entropy_Afterpath,Class
9231,0,3,4,4.0,6,29.0,3,19,10,17,1,16,0,0,4,0,4,0,0,141,14,120,120,2,2,2,0.85106385,0.014184397,0.14285715,0.09929078,8.571428,0.016666668,0,-1,2,-1,0.35714287,-1,20,1,-1,-1,-1,-1,111,10,-1,-1,-1,-1,118,3,8,8,-1,0,0,2,1,1,-1,0.14184397199999998,0.071428571,0.0,0.161016949,,-1.0,5,2,-1,1,0,-1,0.788239343,0.835752348,,0.809076782,0.0,-1.0,phishing
5615,0,2,13,6.0,10,5.230769,2,23,11,3,0,3,0,0,2,0,2,0,0,101,13,81,81,2,2,2,0.8019801999999999,0.01980198,0.15384616,0.12871288,6.230769,0.024691358,0,-1,3,-1,0.84615386,-1,10,0,0,0,10,-1,73,12,11,4,42,-1,60,10,8,8,-1,0,0,3,0,10,-1,0.099009901,0.0,0.0,0.133333333,0.153846154,-1.0,7,1,1,3,1,-1,0.6986398640000001,0.916849799,0.827729377,0.724837418,0.721566917,-1.0,phishing
319,21,2,10,7.5,12,4.2,2,19,13,0,0,0,0,0,0,0,0,0,0,77,16,54,54,2,2,28,0.7012986999999999,0.36363637,1.75,0.20779221,3.375,0.5185185,0,-1,1,-1,0.8125,21,0,0,0,0,0,0,64,15,6,7,32,18,37,12,8,8,21,0,1,4,0,4,1,0.0,0.0,0.0,0.0,,0.0,7,1,2,2,0,1,0.6826692190000001,0.9375,0.83436043,0.738839142,0.0,0.772452902,benign
9809,0,2,4,6.0,9,4.25,2,7,4,1,0,1,1,0,0,0,0,0,0,40,13,20,20,9,4,2,0.5,0.05,0.15384616,0.325,1.5384616000000002,0.1,0,-1,2,-1,0.7692308000000001,-1,1,0,0,1,0,-1,32,12,4,8,4,-1,9,9,4,4,-1,0,0,3,0,1,-1,0.025,0.0,0.0,0.071428571,0.0,-1.0,5,1,1,1,0,-1,0.7809572509999999,0.916849799,0.871049064,0.962478638,1.0,-1.0,phishing
14580,0,2,11,7.0,11,5.181818,2,21,12,0,0,0,0,0,0,0,0,0,0,89,15,67,67,2,2,2,0.7528090000000001,0.02247191,0.13333334,0.16853933,4.4666667,0.029850746,0,-1,1,-1,0.8,-1,6,0,0,6,0,-1,69,14,9,0,42,-1,49,11,9,9,-1,0,0,4,0,7,-1,0.06741573,0.0,0.333333333,0.0,,-1.0,5,1,2,0,0,-1,0.6842641970000001,0.931744527,0.85671355,0.6847018690000001,0.0,-1.0,benign
16819,0,3,9,4.0,7,4.111111,3,12,6,0,0,0,0,0,0,0,0,0,0,66,14,45,45,5,4,2,0.6818181999999999,0.030303031,0.14285715,0.21212122,3.2142856,0.044444446,0,-1,5,-1,0.5714286,-1,0,0,0,0,0,-1,53,12,28,5,4,-1,10,7,8,8,-1,0,0,5,0,4,-1,0.0,0.0,0.0,0.0,0.0,-1.0,10,2,5,1,0,-1,0.7113962840000001,0.798230986,0.79947072,1.0,1.0,-1.0,phishing
5595,0,2,5,4.0,5,2.8,2,2,2,0,0,0,0,0,0,0,0,0,0,34,9,18,18,7,4,2,0.5294118,0.05882353,0.22222222,0.2647059,2.0,0.11111111,0,-1,2,-1,0.6666667,-1,2,0,0,2,0,-1,24,8,4,4,4,-1,7,5,4,4,-1,0,0,3,0,2,-1,0.05882352940000001,0.0,0.0,0.1666666667,0.0,-1.0,5,1,1,1,0,-1,0.8293973664000001,0.929896694,0.8710490643000001,1.0,1.0,-1.0,Defacement
8295,0,3,3,4.3333335,7,3.0,3,2,1,1,1,0,0,0,0,0,0,0,0,33,15,11,11,5,4,2,0.33333334,0.060606062,0.13333334,0.45454547,0.73333335,0.18181819,0,-1,3,-1,0.53333336,-1,3,3,-1,0,0,-1,23,10,-1,5,4,-1,5,3,5,-1,-1,0,0,2,0,1,-1,0.0909090909,0.2,0.0,0.0,0.0,-1.0,5,2,-1,1,0,-1,0.825671769,0.8847354891,,1.0,1.0,-1.0,Defacement
18187,0,2,18,5.5,8,4.0,2,26,22,1,1,0,0,0,0,0,0,0,0,108,12,89,89,2,2,2,0.8240741,0.018518519,0.16666667,0.11111111,7.416666499999999,0.02247191,0,-1,1,-1,0.75,-1,10,2,6,2,0,-1,77,9,5,0,59,-1,71,3,8,8,-1,0,0,6,0,12,-1,0.092592593,0.166666667,0.444444444,0.0,,-1.0,7,1,4,0,0,-1,0.6759117840000001,1.0,0.76538826,0.624936786,0.0,-1.0,benign
5121,0,2,10,5.5,8,4.1,2,16,7,0,0,0,0,0,0,0,0,0,0,70,12,51,51,2,2,2,0.7285714,0.028571429,0.16666667,0.17142858,4.25,0.039215688,0,-1,1,-1,0.75,-1,0,0,-1,0,0,-1,56,11,-1,7,34,-1,41,8,7,7,-1,0,0,3,0,7,-1,0.0,0.0,0.0,0.0,,-1.0,4,1,1,0,0,-1,0.689757243,0.907019018,0.8597933879999999,0.7363368659999999,0.0,-1.0,benign
14960,13,3,11,5.3333335,10,4.0,3,19,11,0,0,0,0,0,0,0,0,0,0,90,18,65,65,2,2,35,0.7222221999999999,0.3888889,1.9444444,0.2,3.6111112,0.53846157,0,-1,4,-1,0.6111111,11,2,0,0,0,2,2,72,16,20,12,20,10,25,10,12,12,11,0,2,2,0,6,3,0.0222222222,0.0,0.0,0.03125,0.05,0.0571428571,10,2,-1,6,5,4,0.7089473941,0.8833593795999999,,0.7556029390000001,0.8578303673000001,0.8648395752,Defacement
12813,0,2,8,6.0,10,4.25,2,14,7,0,0,0,0,0,0,0,0,0,0,61,13,41,41,2,2,2,0.6721311,0.032786883,0.15384616,0.21311475,3.1538463,0.048780486,0,-1,1,-1,0.84615386,-1,0,0,-1,0,0,-1,50,12,-1,7,27,-1,32,10,7,7,-1,0,0,3,0,5,-1,0.0,0.0,0.0,0.0,,-1.0,4,1,1,0,0,-1,0.697601832,0.875274698,0.789690082,0.730503653,0.0,-1.0,benign
11503,25,4,10,5.25,13,2.6666667,4,21,10,0,0,0,0,0,0,0,0,0,0,100,24,69,69,2,2,58,0.69,0.58,2.4166667,0.24,2.875,0.8405796999999998,0,-1,4,-1,0.5833333,11,2,0,-1,0,2,2,79,21,-1,5,49,22,62,13,8,8,11,0,5,2,0,2,9,0.02,0.0,0.0,0.0294117647,0.0322580645,0.0344827586,16,3,-1,11,10,9,0.6938912387,0.7657701898,,0.7336501597,0.7371450931,0.7283968451,Defacement
5187,0,2,7,4.5,6,5.142857,2,8,3,2,1,1,0,0,0,0,0,0,0,59,10,42,42,2,2,2,0.7118644000000001,0.033898305,0.2,0.16949153,4.2,0.04761905,0,-1,1,-1,0.7,-1,15,3,10,2,0,-1,34,6,10,8,6,-1,13,3,6,5,-1,0,0,6,0,1,-1,0.254237288,0.3,0.333333333,0.0,,-1.0,7,1,4,0,0,-1,0.781919241,1.0,0.815360915,0.871049064,0.0,-1.0,benign
1713,0,4,6,15.75,29,7.0,4,11,12,7,0,7,0,0,0,0,0,0,0,121,66,48,48,2,2,2,0.3966942,0.016528925,0.030303031,0.54545456,0.72727275,0.041666668,0,-1,3,-1,0.22727273,-1,10,0,0,0,10,-1,95,59,3,7,22,-1,32,14,5,5,-1,0,0,5,4,1,-1,0.082644628,0.0,0.0,0.3125,,-1.0,8,3,3,0,0,-1,0.659406726,0.6601317529999999,0.79523358,0.696691719,0.0,-1.0,phishing
3886,14,2,13,4.5,6,3.0,2,22,17,0,0,0,0,0,0,0,0,0,0,107,10,90,90,2,2,74,0.8411215,0.69158876,7.4,0.093457945,9.0,0.82222223,0,-1,2,-1,0.7,6,4,0,0,0,4,4,78,9,4,5,56,10,78,6,8,8,6,0,4,3,0,1,12,0.037383178,0.0,0.0,0.047619048,0.051282051,0.054054054,18,1,1,14,13,12,0.6722616029999999,0.7966576240000001,0.871049064,0.6899466879999999,0.696013542,0.6947158459999999,benign
14942,0,2,8,5.5,9,4.0,2,9,5,0,0,0,0,0,0,0,0,0,0,58,12,39,39,33,4,2,0.67241377,0.03448276,0.16666667,0.20689656,3.25,0.051282052,0,-1,2,-1,0.8333333,-1,5,0,-1,5,0,-1,42,11,-1,23,4,-1,33,9,8,8,-1,0,0,2,0,6,-1,0.08620689699999999,0.0,0.0,0.131578947,0.0,-1.0,4,1,-1,1,0,-1,0.776684554,0.860528527,,0.852022913,1.0,-1.0,benign
12414,14,3,11,5.3333335,10,4.0,3,17,10,0,0,0,0,0,0,0,0,0,0,87,18,62,62,2,2,32,0.7126437,0.3678161,1.7777778000000002,0.20689656,3.4444444,0.516129,0,-1,4,-1,0.6111111,11,3,0,0,0,3,3,68,16,20,12,16,10,23,10,8,8,11,0,2,2,0,6,3,0.0344827586,0.0,0.0,0.0491803279,0.08108108110000001,0.09375,10,2,-1,6,5,4,0.7159741854999999,0.8833593795999999,,0.7605439959999999,0.867653412,0.8655639062,Defacement
16207,0,2,11,4.5,6,4.4545455,2,15,15,0,0,0,0,0,0,0,0,0,0,77,10,60,60,2,2,2,0.77922076,0.025974026,0.2,0.12987013,6.0,0.033333335,0,-1,1,-1,0.7,-1,8,0,6,2,0,-1,54,9,0,0,41,-1,47,6,7,7,-1,0,0,5,0,6,-1,0.103896104,0.0,0.666666667,0.0,,-1.0,6,1,3,0,0,-1,0.70125956,0.939794001,0.657019018,0.691635091,0.0,-1.0,benign
3045,0,2,8,10.5,19,5.0,2,15,11,0,0,0,0,0,0,0,0,0,0,77,22,48,48,2,2,2,0.6233766,0.025974026,0.09090909,0.2857143,2.1818182,0.041666668,0,-1,2,-1,0.90909094,-1,0,0,0,0,0,-1,65,21,24,10,6,-1,11,19,10,8,-1,0,0,6,0,2,-1,0.0,0.0,0.0,0.0,,-1.0,8,1,5,0,0,-1,0.67317578,0.780752991,0.7344132109999999,0.742098129,0.0,-1.0,phishing
8629,27,3,9,8.666667,21,2.6666667,3,17,8,0,0,0,0,0,0,0,0,0,0,98,28,63,63,2,2,52,0.64285713,0.53061223,1.8571428,0.2857143,2.25,0.82539684,0,-1,3,-1,0.42857143,15,6,0,-1,0,6,6,75,25,-1,5,41,20,56,11,11,11,15,0,4,2,1,2,7,0.0612244898,0.0,0.0,0.0967741935,0.1071428571,0.1153846154,13,2,-1,9,8,7,0.7237207881000001,0.7295336852,,0.7782146901000001,0.7892779134000001,0.7890536382,Defacement
1897,20,3,8,7.333333500000001,17,3.0,3,14,8,1,0,1,0,0,0,0,0,0,0,80,24,49,49,2,2,37,0.6125,0.4625,1.5416666,0.3,2.0416667,0.75510204,0,-1,3,-1,0.5,11,3,0,-1,1,2,2,62,21,-1,5,32,17,41,11,7,7,11,0,3,2,1,2,5,0.0375,0.0,0.0,0.0625,0.0487804878,0.0540540541,11,2,-1,7,6,5,0.7375995651999999,0.8158412555,,0.7691930826000001,0.7734019809999999,0.766435265,Defacement
17235,0,3,3,7.333333500000001,16,3.0,3,3,3,0,0,0,0,0,0,0,0,0,0,42,24,11,11,6,3,2,0.26190478,0.04761905,0.083333336,0.5714286,0.45833334,0.18181819,0,-1,3,-1,0.7083333,-1,0,0,-1,0,0,-1,35,22,-1,6,3,-1,6,16,6,-1,-1,0,0,2,0,1,-1,0.0,0.0,0.0,0.0,0.0,-1.0,5,2,-1,1,0,-1,0.75212104,0.793210891,,0.819382003,0.579380164,-1.0,phishing
11838,0,3,6,7.0,16,3.1666667,3,7,4,0,0,0,0,0,0,0,0,0,0,54,23,24,24,4,3,2,0.44444445,0.037037037,0.08695652,0.42592594,1.0434783,0.083333336,0,-1,4,-1,0.73913044,-1,0,0,0,0,0,-1,44,21,12,4,3,-1,5,16,5,5,-1,0,0,4,0,2,-1,0.0,0.0,0.0,0.0,0.0,-1.0,8,2,3,1,0,-1,0.7317634390000001,0.781291172,0.863204883,0.833333333,0.579380164,-1.0,phishing
14703,16,2,15,4.5,6,4.6666665,2,23,14,2,0,2,0,0,1,0,1,0,0,109,10,91,91,2,2,23,0.8348624,0.21100917,2.3,0.09174312,9.1,0.25274727,0,-1,1,-1,0.7,16,7,0,-1,0,7,0,84,9,-1,10,60,15,78,6,11,8,16,0,1,3,0,10,1,0.064220183,0.0,0.0,0.08974359,,0.0,6,1,1,2,0,1,0.68502018,0.856863624,0.916849799,0.716410825,0.0,0.754812543,benign
13716,0,2,3,6.5,10,1.3333334,2,0,0,0,0,0,0,0,0,0,0,0,0,27,14,6,6,1,3,2,0.22222222,0.074074075,0.14285715,0.5185185,0.42857143,0.33333334,0,-1,2,-1,0.78571427,-1,0,0,-1,0,0,-1,21,13,-1,1,3,-1,3,10,3,-1,-1,0,0,2,0,1,-1,0.0,0.0,0.0,0.0,0.0,-1.0,4,1,-1,1,0,-1,0.8539133759,0.9624786379,,0.6554587535,0.5793801643,-1.0,Defacement
1568,0,3,18,5.3333335,10,3.8333333,3,18,12,0,0,0,0,0,0,0,0,0,0,111,18,86,86,45,4,2,0.7747748000000001,0.018018018,0.11111111,0.16216215,4.7777777000000015,0.023255814,0,-1,4,-1,0.6111111,-1,22,0,18,4,0,-1,67,16,8,35,4,-1,45,10,11,11,-1,0,0,5,0,13,-1,0.1981981982,0.0,-1.0,-1.0,-1.0,-1.0,9,2,-1,-1,-1,-1,0.6723217833,0.8300677204000001,-1.0,-1.0,-1.0,-1.0,Defacement
5848,0,3,9,5.6666665,11,2.3333333,3,1,6,0,0,0,0,0,0,0,0,0,0,55,19,29,29,14,4,2,0.5272727,0.036363635,0.10526316,0.34545454,1.5263158,0.06896552,0,-1,6,-1,0.6315789,-1,0,0,0,0,0,-1,42,17,12,5,4,-1,6,11,4,3,-1,0,0,4,0,5,-1,0.0,0.0,0.0,0.0,0.0,-1.0,9,2,2,3,2,-1,0.734945414,0.798481762,0.555833628,0.891527445,0.931744527,-1.0,phishing
11869,10,2,8,14.5,26,4.0,2,14,9,0,0,0,0,0,0,0,0,0,0,90,30,53,53,2,2,28,0.5888889,0.31111112,0.93333334,0.33333334,1.7666667,0.5283019,0,-1,1,-1,0.9,9,1,0,-1,-1,-1,1,75,29,-1,-1,-1,9,52,26,9,9,9,0,2,2,0,3,4,0.0111111111,0.0,0.0,0.0192307692,,0.0357142857,8,1,-1,5,0,4,0.6885871686,0.7977372368000001,,0.7466673705,0.0,0.7751610145000001,Defacement
18205,0,2,11,8.0,13,4.2727275,2,16,8,0,0,0,0,0,0,0,0,0,0,81,17,57,57,48,4,2,0.7037036999999999,0.024691358,0.11764706,0.20987654,3.3529413,0.03508772,0,-1,2,-1,0.8235294,-1,0,0,0,0,0,-1,67,16,2,41,4,-1,48,13,9,9,-1,0,0,3,0,8,-1,0.0,0.0,0.0,0.0,0.0,-1.0,5,1,1,1,0,-1,0.7127263040999999,0.8273054997,0.75,0.7755484092,1.0,-1.0,Defacement
10956,98,4,16,4.5,10,2.6666667,4,50,30,0,0,0,0,0,0,0,0,0,0,169,21,141,141,2,2,130,0.83431953,0.7692308000000001,6.1904764000000005,0.12426036,6.714286,0.9219858,0,-1,4,-1,0.52380955,68,6,0,-1,0,6,6,136,18,-1,5,109,83,134,10,16,16,11,0,5,2,0,8,9,0.035502958599999995,0.0,0.0,0.0428571429,0.0447761194,0.0461538462,18,3,-1,13,12,11,0.6254404141,0.7803018689,,0.6350722961,0.6366974228,0.6306960586,Defacement
16059,0,3,0,9.333333,17,,3,0,0,1,1,0,0,0,0,0,0,0,0,38,30,1,1,2,2,2,0.02631579,0.05263158,0.06666667,0.7894737,0.033333335,2.0,0,-1,2,-1,0.33333334,-1,1,1,-1,-1,-1,-1,29,25,-1,-1,-1,-1,0,8,0,-1,-1,0,0,1,2,0,-1,0.026315789,0.033333333,-1.0,-1.0,-1.0,-1.0,3,2,-1,-1,-1,-1,0.7842779999999999,0.807993392,-1.0,-1.0,-1.0,-1.0,phishing
3874,0,3,6,3.3333333,6,4.0,3,9,8,0,0,0,0,0,0,0,0,0,0,48,12,29,29,3,4,2,0.6041667,0.041666668,0.16666667,0.25,2.4166667,0.06896552,0,-1,3,-1,0.5833333,-1,0,0,0,0,0,-1,38,10,17,3,4,-1,9,6,9,9,-1,0,0,5,0,1,-1,0.0,0.0,0.0,0.0,0.0,-1.0,8,2,3,1,0,-1,0.743995631,0.907019018,0.826536953,0.916666667,1.0,-1.0,phishing
16572,5,2,6,4.5,6,3.0,2,7,4,0,0,0,0,0,0,0,0,0,0,45,10,28,28,2,2,16,0.62222224,0.35555556,1.6,0.22222222,2.8,0.5714286,0,-1,2,-1,1.0,4,7,6,-1,0,1,1,28,3,-1,5,16,4,21,3,6,6,4,0,2,2,0,1,3,0.1555555556,0.6,0.0,0.037037037,0.0476190476,0.0625,8,1,-1,5,4,3,0.8016474013,0.8795880017000001,,0.8539133759,0.8915855959000001,0.9375,Defacement
2723,0,3,5,8.0,15,3.2,3,5,1,0,0,0,0,0,0,0,0,0,0,53,26,20,20,5,4,2,0.3773585,0.03773585,0.07692308,0.49056605,0.7692308000000001,0.1,0,-1,3,-1,0.26923078,-1,0,0,0,0,0,-1,42,22,7,5,4,-1,5,6,5,5,-1,0,0,4,2,1,-1,0.0,0.0,0.0,0.0,0.0,-1.0,7,2,2,1,0,-1,0.6893308779999999,0.757717917,0.7966576240000001,0.939794001,1.0,-1.0,phishing
13196,63,2,14,5.5,8,13.5,2,29,19,8,0,8,8,1,2,0,2,2,0,146,12,127,127,114,3,69,0.86986303,0.47260273,5.75,0.08219178,10.583333,0.54330707,0,-1,10,-1,0.75,63,26,0,21,5,0,7,101,11,80,3,3,46,40,8,13,13,0,0,1,3,0,9,1,0.178082192,0.0,0.0,0.220338983,0.090909091,0.101449275,15,1,1,11,10,9,0.7041740320000001,0.860528527,0.789690082,0.72839847,0.715965678,0.730126231,benign
15411,0,3,6,5.6666665,11,3.1666667,3,5,1,0,0,0,0,0,0,0,0,0,0,51,19,25,25,2,2,2,0.49019608,0.039215688,0.10526316,0.37254903,1.3157895,0.08,0,-1,2,-1,0.6315789,-1,0,0,0,0,0,-1,40,17,9,3,7,-1,8,11,7,5,-1,0,0,5,0,1,-1,0.0,0.0,0.0,0.0,,-1.0,7,2,3,0,0,-1,0.74449444,0.841967673,0.8273055,0.898226518,0.0,-1.0,phishing
18245,0,3,8,6.3333335,15,4.25,3,10,5,0,0,0,0,0,0,0,0,0,0,69,21,41,41,5,3,2,0.5942029000000001,0.028985508,0.0952381,0.3043478,1.9523809,0.048780486,0,-1,3,-1,0.3809524,-1,4,0,4,0,0,-1,52,18,22,5,3,-1,10,7,7,7,-1,0,0,6,1,2,-1,0.057971014,0.0,0.125,0.0,0.0,-1.0,9,2,4,1,0,-1,0.7472163140000001,0.891585596,0.827439747,1.0,1.0,-1.0,phishing
7794,0,2,5,4.0,5,3.8,2,2,2,0,0,0,0,0,0,0,0,0,0,39,9,23,23,4,4,2,0.5897435999999999,0.051282052,0.22222222,0.23076923,2.5555556,0.08695652,0,-1,2,-1,0.6666667,-1,7,0,3,4,0,-1,24,8,8,0,4,-1,8,5,8,8,-1,0,0,4,0,1,-1,0.17948717949999998,0.0,0.2142857143,0.4444444444,0.0,-1.0,6,1,2,1,0,-1,0.7806280970999999,0.929896694,0.8357523477,1.0,1.0,-1.0,Defacement
6156,3,4,5,3.0,4,3.6666667,4,6,4,0,0,0,0,0,0,0,0,0,0,45,15,23,23,2,2,9,0.51111114,0.2,0.6,0.33333334,1.5333333,0.39130434,0,-1,4,-1,0.33333334,3,3,0,-1,0,3,3,32,12,-1,7,9,0,14,4,7,7,0,0,1,2,0,1,1,0.0666666667,0.0,0.0,0.13636363640000002,0.2142857143,0.3333333333,8,3,-1,3,2,1,0.8289803631,0.7353432416,,0.9107622975,0.9249572757,0.929896694,Defacement
1975,0,2,9,4.5,6,4.2222222999999985,2,12,4,1,1,0,0,0,0,0,0,0,0,64,10,47,47,2,2,2,0.734375,0.03125,0.2,0.15625,4.7,0.04255319,0,-1,1,-1,0.7,-1,12,3,9,0,0,-1,39,6,20,7,2,-1,12,3,7,5,-1,0,0,7,0,2,-1,0.1875,0.3,-1.0,-1.0,-1.0,-1.0,8,1,-1,-1,-1,-1,0.7515021409999999,1.0,-1.0,-1.0,-1.0,-1.0,benign
